age,gender,place_type,hobby,climate,health_issues,selected_place
20,male,"['Nature', 'Wildlife']",['Nature Walks'],Cool,[],Galway's Land National Park
7,female,"['Shopping', 'Cultural']",['Cultural Exploration'],Tropical,[],Kandy Market
23,female,"['Nature', 'Waterfall']",['Photography'],Cool,[],Ramboda Falls
43,female,"['Beach', 'Wildlife']",['Whale Watching'],Tropical,['Seasickness'],Mirissa Beach
27,male,['Historical'],['Relaxation'],Tropical,['Severe Pollen Allergies'],Royal Botanical Gardens
64,male,"['Beach', 'Snorkeling']",['Relaxation'],Tropical,[],Unawatuna Beach
41,female,"['Historic', 'Cultural']",['Photography'],Tropical,[],Galle Fort
7,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Abhayagiri Dagoba
79,male,"['Sports', 'Recreation']",['Relaxation'],Cool,[],Nuwara Eliya Golf Club
29,male,"['Eco-Tourism', 'Wildlife']",['Kayaking'],Tropical,[],Kalametiya Bird Sanctuary
39,female,['Historical'],['History'],Tropical,[],Kandy War Cemetery
18,male,['Historical'],['Sightseeing'],Tropical,[],Commonwealth War Cemetery
71,male,"['Museum', 'Educational']",['Cultural Exploration'],Tropical,[],Maha Vihara Museum
26,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Samadhi Buddha Statue
12,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Isurumuniya Temple
68,male,"['Nature', 'Wildlife']",['Nature Exploration'],Cool,['Respiratory Issues'],Moon Plains
39,female,['Scenic'],['Sightseeing'],Tropical,[],Kandy View Point
50,male,"['Beach', 'Family']",['Snorkeling'],Tropical,[],Polhena Beach
50,male,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
36,male,"['Museum', 'Educational']",['Sightseeing'],Tropical,[],Maha Vihara Museum
58,female,"['Educational', 'Museum']",['Tea Tasting'],Cool,[],Tea Factory & Tea Museum
51,female,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,"['Knee Pain', 'Back Pain']",Jetavanaramaya
21,female,"['Museum', 'Educational']",['Sightseeing'],Tropical,[],Maha Vihara Museum
46,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Lovamahapaya
64,female,"['Beach', 'Romantic']",['Sunbathing'],Tropical,['Strong Currents (seasonal)'],Tangalle Beach
12,female,"['Diving', 'Adventure']",['Scuba Diving'],Tropical,[],Great Basses Reef
70,female,"['Nature', 'Garden']",['Photography'],Cool,['Severe Pollen Allergies'],Hakgala Botanical Garden
66,male,"['Religious', 'Historical']",['Photography'],Tropical,"['Knee Pain', 'Back Pain']",Ruwanwelisaya
46,female,"['Beach', 'Scenic']",['Relaxation'],Tropical,[],Dickwella Beach
12,male,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
44,female,"['Diving', 'Adventure']",['Marine Life'],Tropical,[],Great Basses Reef
23,male,"['Nature', 'Garden']",['Nature Walks'],Cool,['Severe Pollen Allergies'],Hakgala Botanical Garden
66,male,"['Historic', 'Cultural']",['Photography'],Tropical,['Mobility Issues (cobblestones)'],Galle Fort
5,male,"['Historical', 'Nature']",['Photography'],Tropical,[],Ranmasu Uyana
67,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,"['Knee Pain', 'Back Pain']",Ruwanwelisaya
20,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Embekka Devalaya
66,female,"['Nature', 'Wildlife']",['Nature Exploration'],Cool,[],Moon Plains
43,female,"['Museum', 'Educational']",['Learning'],Tropical,[],Maha Vihara Museum
14,female,"['Nature', 'Wildlife']",['Nature Exploration'],Cool,[],Moon Plains
23,female,"['Beach', 'Wildlife']",['Whale Watching'],Tropical,['Seasickness'],Mirissa Beach
28,female,"['Beach', 'Snorkeling']",['Relaxation'],Tropical,[],Unawatuna Beach
28,female,"['Cultural', 'Shopping']",['Shopping'],Tropical,[],Kandy Arts & Crafts Center
55,male,"['Wildlife', 'Safari']",['Birdwatching'],Dry Zone,[],Bundala National Park
47,female,"['Historical', 'Scenic']",['Relaxation'],Tropical,[],Kuttam Pokuna
39,male,"['Scenic', 'Viewpoint']",['Photography'],Cool,[],Nuwara Eliya Golf Course View Point
38,male,"['Beach', 'Romantic']",['Sunbathing'],Tropical,[],Tangalle Beach
79,male,"['Historical', 'Scenic']",['Bird Watching'],Tropical,[],Basawakkulama Wewa
14,male,"['Nature', 'Wildlife']",['Bird Watching'],Cool,[],Galway's Land National Park
40,female,"['Religious', 'Historical']",['Walking'],Tropical,[],Abhayagiri Dagoba
59,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Jetavanaramaya
66,female,"['Beach', 'Relaxation']",['Kayaking'],Tropical,[],Mawella Beach
65,male,"['Beach', 'Adventure']",['Snorkeling'],Tropical,[],Secret Beach (Mirissa)
56,male,"['Diving', 'Adventure']",['Scuba Diving'],Tropical,[],Great Basses Reef
56,male,"['Museum', 'Historical']",['Learning'],Tropical,[],Kandy National Museum
57,female,"['Educational', 'Nature']",['Learning'],Tropical,['Severe Allergies'],Kandy Spice Garden
39,male,"['Nature', 'Waterfall']",['Nature Walks'],Cool,[],Devon Falls
62,female,"['Cultural', 'Hiking']",['History'],Tropical,[],Mulkirigala Rock Temple
44,female,"['Historic', 'Cultural']",['History'],Tropical,['Mobility Issues (cobblestones)'],Galle Fort
33,male,"['Religious', 'Historical']",['Walking'],Tropical,[],Lankarama
21,male,"['Nature', 'Waterfall']",['Nature Walks'],Cool,[],Ramboda Falls
35,male,['Historical'],['History'],Tropical,[],Kandy War Cemetery
23,male,"['Educational', 'Museum']",['Tea Tasting'],Cool,[],Tea Factory & Tea Museum
62,female,"['Sports', 'Recreation']",['Golf'],Cool,[],Nuwara Eliya Golf Club
7,male,"['Scenic', 'Relaxation']",['Photography'],Cool,[],Gregory Lake
60,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Lankarama
36,male,['Historical'],['Photography'],Tropical,[],Kandy War Cemetery
79,female,"['Historical', 'Scenic']",['Relaxation'],Tropical,[],Basawakkulama Wewa
51,male,['Scenic'],['Photography'],Tropical,[],Kandy View Point
58,female,"['Beach', 'Adventure']",['Hiking'],Tropical,[],Jungle Beach
28,female,"['Beach', 'Eco-Tourism']",['Conservation'],Tropical,[],Rekawa Beach
62,female,"['Cultural', 'Shopping']",['Shopping'],Tropical,[],Kandy Arts & Crafts Center
68,male,"['Nature', 'Garden']",['Photography'],Cool,[],Hakgala Botanical Garden
33,male,"['Scenic', 'Relaxation']",['Boating'],Tropical,[],Kandy Lake
73,male,"['Religious', 'Historical']",['Walking'],Tropical,[],Thuparamaya
9,male,"['Museum', 'Educational']",['Sightseeing'],Tropical,[],Maha Vihara Museum
53,male,"['Historical', 'Educational']",['Photography'],Tropical,[],Lovamahapaya
53,male,"['Museum', 'Educational']",['Cultural Exploration'],Tropical,[],Maha Vihara Museum
25,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
57,male,"['Historical', 'Architecture']",['Photography'],Cool,[],Nuwara Eliya Post Office
36,female,"['Sports', 'Recreation']",['Relaxation'],Cool,[],Nuwara Eliya Golf Club
7,male,"['Cultural', 'Shopping']",['Cultural Exploration'],Tropical,[],Kandy Arts & Crafts Center
18,female,"['Nature', 'Waterfall']",['Nature Walks'],Cool,[],Devon Falls
42,female,"['Historical', 'Cultural']",['Sightseeing'],Cool,[],Nuwara Eliya City Tour
56,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Lankarama
55,male,"['Beach', 'Surfing']",['Yoga'],Tropical,[],Hiriketiya Beach
57,female,"['Educational', 'Agriculture']",['Tea Tasting'],Cool,['Mobility Issues'],Pedro Tea Estate
27,male,"['Agriculture', 'Food']",['Photography'],Cool,[],Nuwara Eliya Strawberry Farms
8,female,"['Beach', 'Photography']",['Swimming'],Tropical,[],Dalawella Beach
31,male,"['Historical', 'Nature']",['Photography'],Tropical,"['Knee Pain', 'Back Pain']",Vessagiriya
25,male,"['Historical', 'Cultural']",['Sightseeing'],Cool,[],Nuwara Eliya City Tour
50,female,['Scenic'],['Photography'],Tropical,[],Kandy View Point
30,male,"['Adventure', 'Nature']",['Hiking'],Cool,[],Hanthana Mountain Range
67,female,['Historical'],['Photography'],Tropical,[],Kandy War Cemetery
56,male,"['Adventure', 'Nature']",['Camping'],Cool,"['Heart Conditions', 'Respiratory Issues', 'Joint Problems']",Hanthana Mountain Range
32,male,"['Shopping', 'Cultural']",['Shopping'],Cool,['Mobility Issues'],Nuwara Eliya Market
63,female,"['Beach', 'Romantic']",['Sunbathing'],Tropical,[],Tangalle Beach
22,female,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Lankarama
32,female,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Sela Cetiya
48,male,"['Cultural', 'Hiking']",['History'],Tropical,[],Mulkirigala Rock Temple
71,male,"['Eco-Tourism', 'Wildlife']",['Birdwatching'],Tropical,[],Kalametiya Bird Sanctuary
12,female,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
68,female,"['Shopping', 'Cultural']",['Shopping'],Tropical,[],Kandy Market
37,male,"['Religious', 'Historical']",['Photography'],Tropical,"['Knee Pain', 'Back Pain']",Ruwanwelisaya
8,female,"['Nature', 'Waterfall']",['Nature Walks'],Cool,['Mobility Issues'],Devon Falls
59,male,"['Beach', 'Adventure']",['Snorkeling'],Tropical,[],Jungle Beach
28,male,"['Beach', 'Family']",['Relaxation'],Tropical,[],Polhena Beach
10,female,['Historical'],['Photography'],Tropical,[],Kandy Garrison Cemetery
12,female,['Historical'],['History'],Tropical,[],Kandy Garrison Cemetery
72,male,"['Beach', 'Relaxation']",['Walking'],Tropical,[],Talpe Beach
18,female,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Lankarama
7,male,"['Beach', 'Family']",['Relaxation'],Tropical,[],Polhena Beach
14,female,"['Beach', 'Snorkeling']",['Relaxation'],Tropical,['Non-swimmers (deep areas)'],Unawatuna Beach
67,male,"['Nature', 'Wildlife']",['Bird Watching'],Cool,[],Galway's Land National Park
42,male,"['Historical', 'Scenic']",['Sightseeing'],Tropical,[],Tissa Wewa
64,female,"['Cultural', 'Shopping']",['Cultural Exploration'],Tropical,[],Kandy Arts & Crafts Center
38,female,"['Historical', 'Scenic']",['Relaxation'],Tropical,[],Tissa Wewa
39,male,"['Historical', 'Educational']",['Learning'],Tropical,[],Eth Pokuna
66,female,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
18,female,['Historical'],['History'],Tropical,[],Kandy Garrison Cemetery
19,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Thuparamaya
57,female,['Historical'],['Photography'],Tropical,[],Kandy Garrison Cemetery
19,male,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kuttam Pokuna
40,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Lankarama
59,male,"['Scenic', 'Viewpoint']",['Hiking'],Cool,[],Single Tree Hill
78,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Lankarama
56,female,"['Beach', 'Scenic']",['Photography'],Tropical,[],Dickwella Beach
72,female,['Museum'],['Tea Tasting'],Tropical,[],Ceylon Tea Museum
40,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Lovamahapaya
78,female,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Lankarama
50,male,"['Wildlife', 'Safari']",['Photography'],Dry Zone,[],Bundala National Park
64,male,"['Sports', 'Historical']",['Photography'],Cool,[],Nuwara Eliya Race Course
41,female,"['Historical', 'Educational']",['Photography'],Tropical,[],Ratnaprasada
44,male,"['Beach', 'Surfing']",['Cultural Photography'],Tropical,[],Weligama Bay
40,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Embekka Devalaya
44,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Sri Maha Bodhi
56,male,"['Historical', 'Educational']",['Learning'],Tropical,[],Lovamahapaya
38,male,"['Cultural', 'Hiking']",['History'],Tropical,[],Mulkirigala Rock Temple
55,female,"['Religious', 'Historical']",['Walking'],Tropical,[],Abhayagiri Dagoba
37,male,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kuttam Pokuna
53,male,"['Scenic', 'Viewpoint']",['Photography'],Cool,[],Nuwara Eliya Golf Course View Point
67,male,['Scenic'],['Sightseeing'],Tropical,[],Kandy View Point
55,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Lankatilaka Temple
53,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Samadhi Buddha Statue
51,female,"['Park', 'Nature']",['Bird Watching'],Cool,[],Victoria Park
42,male,"['Nature', 'Garden']",['Nature Walks'],Cool,[],Hakgala Botanical Garden
7,female,['Natural Wonder'],['Photography'],Tropical,[],Hummanaya Blowhole
59,female,"['Historical', 'Nature']",['Sightseeing'],Tropical,[],Vessagiriya
61,male,"['Educational', 'Museum']",['Learning'],Cool,[],Tea Factory & Tea Museum
76,female,"['Educational', 'Museum']",['Tea Tasting'],Cool,[],Tea Factory & Tea Museum
38,male,"['Shopping', 'Cultural']",['Cultural Exploration'],Cool,[],Nuwara Eliya Market
72,female,"['Historical', 'Educational']",['Photography'],Tropical,[],Eth Pokuna
52,female,"['Beach', 'Romantic']",['Sunbathing'],Tropical,['Strong Currents (seasonal)'],Tangalle Beach
23,female,"['Beach', 'Adventure']",['Exploration'],Tropical,[],Secret Beach (Mirissa)
6,male,"['Wildlife', 'Safari']",['Birdwatching'],Dry Zone,[],Bundala National Park
13,female,"['Museum', 'Historical']",['History'],Tropical,[],Kandy National Museum
28,male,"['Historical', 'Architecture']",['Photography'],Cool,[],Nuwara Eliya Post Office
18,male,"['Museum', 'Educational']",['Learning'],Tropical,[],Anuradhapura Archaeological Museum
26,male,"['Beach', 'Photography']",['Swimming'],Tropical,[],Dalawella Beach
41,male,"['Nature', 'Waterfall']",['Photography'],Cool,[],St. Clair's Falls
45,female,"['Historical', 'Nature']",['Sightseeing'],Tropical,[],Ranmasu Uyana
31,male,"['Historical', 'Educational']",['Cultural Exploration'],Tropical,[],Ratnaprasada
57,male,['Natural Wonder'],['Photography'],Tropical,[],Hummanaya Blowhole
66,female,"['Scenic', 'Relaxation']",['Boating'],Tropical,[],Kandy Lake
69,male,"['Museum', 'Historical']",['History'],Tropical,[],Kandy National Museum
15,female,"['Beach', 'Surfing']",['Surfing'],Tropical,[],Weligama Bay
58,female,"['Religious', 'Historical']",['Photography'],Tropical,['Mobility Issues'],Gadaladeniya Temple
60,male,"['Historical', 'Scenic']",['Walking'],Tropical,[],Basawakkulama Wewa
66,male,"['Nature', 'Wildlife']",['Bird Watching'],Cool,[],Galway's Land National Park
44,male,"['Beach', 'Wildlife']",['Whale Watching'],Tropical,[],Mirissa Beach
29,male,"['Historical', 'Scenic']",['Bird Watching'],Tropical,[],Tissa Wewa
55,female,"['Wildlife', 'Safari']",['Photography'],Dry Zone,[],Bundala National Park
53,male,"['Cultural', 'Hiking']",['History'],Tropical,[],Mulkirigala Rock Temple
16,female,"['Agriculture', 'Food']",['Photography'],Cool,[],Nuwara Eliya Strawberry Farms
74,female,"['Religious', 'Historical']",['Walking'],Tropical,[],Thuparamaya
30,male,"['Historical', 'Educational']",['Photography'],Tropical,[],Lovamahapaya
21,male,"['Historical', 'Educational']",['Photography'],Tropical,[],Lovamahapaya
11,male,['Historical'],['History'],Tropical,[],Commonwealth War Cemetery
43,male,"['Eco-Tourism', 'Wildlife']",['Birdwatching'],Tropical,['Mosquito-Borne Illnesses'],Kalametiya Bird Sanctuary
35,female,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
44,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
8,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Thuparamaya
46,female,"['Park', 'Nature']",['Relaxation'],Cool,[],Victoria Park
17,male,"['Eco-Tourism', 'Wildlife']",['Birdwatching'],Tropical,['Mosquito-Borne Illnesses'],Kalametiya Bird Sanctuary
50,female,"['Historical', 'Scenic']",['Sightseeing'],Tropical,[],Kuttam Pokuna
61,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Lankatilaka Temple
29,male,"['Beach', 'Surfing']",['Surfing'],Tropical,['Non-swimmers'],Hiriketiya Beach
18,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Samadhi Buddha Statue
29,female,"['Nature', 'Scenic']",['Hiking'],Cool,[],Lovers Leap Waterfall
53,male,"['Scenic', 'Viewpoint']",['Hiking'],Cool,[],Single Tree Hill
47,female,"['Nature', 'Waterfall']",['Photography'],Cool,[],St. Clair's Falls
15,female,"['Educational', 'Agriculture']",['Tea Tasting'],Cool,[],Pedro Tea Estate
63,female,"['Beach', 'Relaxation']",['Reading'],Tropical,[],Talpe Beach
78,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Embekka Devalaya
53,male,"['Beach', 'Relaxation']",['Walking'],Tropical,[],Talpe Beach
39,female,"['Historical', 'Cultural']",['Photography'],Cool,[],Nuwara Eliya City Tour
17,female,"['Nature', 'Wildlife']",['Bird Watching'],Cool,[],Galway's Land National Park
60,male,"['Historical', 'Scenic']",['Sightseeing'],Tropical,[],Kuttam Pokuna
46,male,"['Recreation', 'Water Activities']",['Boating'],Cool,[],Lake Gregory Boating
42,female,"['Beach', 'Surfing']",['Yoga'],Tropical,['Non-swimmers'],Hiriketiya Beach
64,female,"['Educational', 'Agriculture']",['Tea Tasting'],Cool,[],Pedro Tea Estate
44,male,"['Scenic', 'Relaxation']",['Photography'],Cool,[],Gregory Lake
44,female,"['Museum', 'Educational']",['Learning'],Tropical,[],Anuradhapura Archaeological Museum
23,female,"['Museum', 'Educational']",['Cultural Exploration'],Tropical,[],Anuradhapura Archaeological Museum
45,male,['Museum'],['Learning'],Tropical,[],Ceylon Tea Museum
31,female,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
35,male,['Historical'],['Photography'],Tropical,['Severe Pollen Allergies'],Royal Botanical Gardens
43,male,"['Historical', 'Cultural']",['Photography'],Cool,[],Nuwara Eliya City Tour
16,male,"['Park', 'Nature']",['Relaxation'],Cool,[],Victoria Park
21,female,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
74,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Samadhi Buddha Statue
67,female,"['Historical', 'Scenic']",['Photography'],Tropical,[],Kandy Railway Station
72,female,"['Scenic', 'Viewpoint']",['Photography'],Cool,[],Single Tree Hill
21,female,"['Nature', 'Scenic']",['Photography'],Cool,['Mobility Issues'],Lovers Leap Waterfall
54,female,"['Religious', 'Historical']",['Photography'],Cool,[],Seetha Amman Temple
56,male,"['Sports', 'Historical']",['Horse Racing'],Cool,[],Nuwara Eliya Race Course
36,male,"['Nature', 'Waterfall']",['Nature Walks'],Cool,['Mobility Issues'],Devon Falls
33,female,"['Scenic', 'Viewpoint']",['Photography'],Cool,[],Nuwara Eliya Golf Course View Point
33,male,"['Nature', 'Waterfall']",['Nature Walks'],Cool,[],Devon Falls
26,male,"['Religious', 'Historical']",['Photography'],Tropical,"['Knee Pain', 'Back Pain']",Isurumuniya Temple
25,male,"['Agriculture', 'Food']",['Photography'],Cool,[],Nuwara Eliya Strawberry Farms
62,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Lankarama
29,female,"['Wildlife', 'Safari']",['Photography'],Dry Zone,[],Bundala National Park
76,female,"['Scenic', 'Relaxation']",['Walking'],Tropical,[],Kandy Lake
31,female,"['Cultural', 'Shopping']",['Shopping'],Tropical,[],Kandy Arts & Crafts Center
48,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,"['Knee Pain', 'Back Pain']",Abhayagiri Dagoba
19,male,"['Shopping', 'Cultural']",['Cultural Exploration'],Cool,[],Nuwara Eliya Market
13,female,['Historical'],['History'],Tropical,[],Commonwealth War Cemetery
42,female,"['Beach', 'Surfing']",['Surfing'],Tropical,[],Weligama Bay
45,female,"['Beach', 'Surfing']",['Cultural Photography'],Tropical,[],Weligama Bay
50,female,"['Recreation', 'Water Activities']",['Relaxation'],Cool,['Swimming Difficulties'],Lake Gregory Boating
37,female,"['Museum', 'Educational']",['Learning'],Tropical,[],Anuradhapura Archaeological Museum
37,male,"['Educational', 'Agriculture']",['Tea Tasting'],Cool,['Mobility Issues'],Pedro Tea Estate
26,male,"['Park', 'Nature']",['Relaxation'],Cool,[],Victoria Park
19,female,"['Religious', 'Scenic']",['Photography'],Tropical,"['Heart Conditions', 'Mobility Issues']",Bahirawakanda Vihara Buddha Statue
10,male,"['Beach', 'Family']",['Snorkeling'],Tropical,[],Polhena Beach
12,female,"['Cultural', 'Shopping']",['Cultural Exploration'],Tropical,[],Kandy Arts & Crafts Center
11,male,"['Agriculture', 'Food']",['Photography'],Cool,[],Nuwara Eliya Strawberry Farms
7,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
16,male,"['Wildlife', 'Safari']",['Birdwatching'],Dry Zone,[],Bundala National Park
23,male,['Museum'],['Tea Tasting'],Tropical,[],Ceylon Tea Museum
36,male,"['Religious', 'Scenic']",['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
41,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Mobility Issues'],Lankatilaka Temple
39,male,"['Cultural', 'Entertainment']",['Cultural Exploration'],Tropical,[],Kandy Cultural Show
53,female,"['Historical', 'Educational']",['Cultural Exploration'],Tropical,[],Ratnaprasada
8,female,"['Beach', 'Relaxation']",['Reading'],Tropical,[],Talpe Beach
40,female,"['Park', 'Nature']",['Relaxation'],Cool,[],Victoria Park
46,male,"['Educational', 'Nature']",['Nature Exploration'],Tropical,[],Kandy Spice Garden
22,female,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Sri Maha Bodhi
46,female,"['Beach', 'Cultural']",['Walking'],Tropical,[],Koggala Beach
42,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
18,female,"['Beach', 'Snorkeling']",['Swimming'],Tropical,[],Unawatuna Beach
32,female,"['Historical', 'Scenic']",['Sightseeing'],Tropical,[],Tissa Wewa
60,female,['Museum'],['Tea Tasting'],Tropical,[],Ceylon Tea Museum
14,female,"['Beach', 'Wildlife']",['Photography'],Tropical,[],Mirissa Beach
5,male,"['Religious', 'Historical']",['Photography'],Cool,[],Seetha Amman Temple
41,male,"['Sports', 'Historical']",['Horse Racing'],Cool,[],Nuwara Eliya Race Course
60,female,"['Recreation', 'Water Activities']",['Boating'],Cool,['Swimming Difficulties'],Lake Gregory Boating
6,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Eth Pokuna
39,female,"['Shopping', 'Cultural']",['Shopping'],Tropical,[],Kandy Market
16,female,"['Beach', 'Relaxation']",['Reading'],Tropical,[],Talpe Beach
54,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Embekka Devalaya
54,male,"['Religious', 'Scenic']",['Photography'],Tropical,"['Heart Conditions', 'Mobility Issues']",Bahirawakanda Vihara Buddha Statue
49,female,"['Agriculture', 'Food']",['Photography'],Cool,[],Nuwara Eliya Strawberry Farms
5,male,"['Beach', 'Eco-Tourism']",['Conservation'],Tropical,[],Rekawa Beach
51,female,"['Nature', 'Scenic']",['Photography'],Cool,[],Lovers Leap Waterfall
34,female,"['Historical', 'Cultural']",['Photography'],Cool,[],Nuwara Eliya City Tour
76,male,"['Scenic', 'Relaxation']",['Walking'],Tropical,['Swimming Difficulties'],Kandy Lake
18,male,['Historical'],['Sightseeing'],Tropical,[],Commonwealth War Cemetery
70,female,"['Religious', 'Historical']",['Cultural Exploration'],Cool,[],Seetha Amman Temple
52,male,"['Nature', 'Wildlife']",['Bird Watching'],Cool,[],Galway's Land National Park
74,female,"['Historical', 'Cultural']",['Sightseeing'],Cool,[],Nuwara Eliya City Tour
79,male,"['Cultural', 'Entertainment']",['Cultural Exploration'],Tropical,[],Kandy Cultural Show
75,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Sri Maha Bodhi
53,female,"['Historical', 'Scenic']",['Photography'],Tropical,[],Tissa Wewa
76,female,"['Shopping', 'Cultural']",['Cultural Exploration'],Cool,[],Nuwara Eliya Market
30,female,['Historical'],['Sightseeing'],Tropical,[],Commonwealth War Cemetery
30,male,"['Wildlife', 'Safari']",['Photography'],Dry Zone,[],Bundala National Park
48,female,"['Beach', 'Scenic']",['Photography'],Tropical,[],Dickwella Beach
47,male,"['Religious', 'Historical']",['Cultural Exploration'],Tropical,[],Sri Maha Bodhi
19,male,"['Historical', 'Scenic']",['Relaxation'],Tropical,[],Basawakkulama Wewa
23,female,"['Shopping', 'Cultural']",['Cultural Exploration'],Cool,[],Nuwara Eliya Market
